Month,Year,Temp,Ice,Veg,Flood,Rain_mm,Province,,
6,2007,44.8522,-0.159433333,964.3355,1,23.24,Balochistan,,
7,2007,41.23209677,-0.227709677,1122.0825,0,24.541,Balochistan,,
8,2007,43.57135484,-0.242645161,1219.7095,0,19.39,Balochistan,,
9,2007,42.1347,-0.289033333,1186.8735,0,3.282,Balochistan,,
10,2007,38.09696774,-0.31416129,1123.405,0,0.034,Balochistan,,
11,2007,34.05883333,-0.3083,1087.7675,0,0.19,Balochistan,,
12,2007,24.43490323,-0.261612903,1066.7445,0,10.465,Balochistan,,
1,2008,17.07322581,-0.12383871,1062.377,0,49.178,Balochistan,,
2,2008,25.18513793,-0.263482759,1000.819,0,9.873,Balochistan,,
3,2008,37.60806452,-0.279451613,1003.2185,0,8.259,Balochistan,,
4,2008,41.42933333,-0.242066667,999.9095,0,11.005,Balochistan,,
5,2008,46.75003226,-0.274387097,915.018,0,6.105,Balochistan,,
6,2008,43.99176667,-0.2478,870.5435,0,16.551,Balochistan,,
7,2008,41.92429032,-0.228580645,936.2825,0,25.554,Balochistan,,
8,2008,41.67154839,-0.209612903,1122.4495,0,16.108,Balochistan,,
9,2008,42.79556667,-0.2835,1062.409,0,2.934,Balochistan,,
10,2008,40.73287097,-0.303258065,1001.0765,0,0.076,Balochistan,,
11,2008,31.94576667,-0.307066667,981.119,0,0.249,Balochistan,,
12,2008,25.59644828,-0.209827586,1001.2505,0,18.214,Balochistan,,
1,2009,20.51803226,-0.145870968,1036.9315,0,47.455,Balochistan,,
2,2009,26.16875,-0.21475,1050.349,0,19.462,Balochistan,,
3,2009,34.2983871,-0.18883871,1126.1865,0,21.477,Balochistan,,
4,2009,39.31183333,-0.235166667,1098.8595,0,11.244,Balochistan,,
5,2009,47.75312903,-0.281129032,988.259,0,4.776,Balochistan,,
6,2009,47.3265,-0.2707,926.285,0,3.945,Balochistan,,
7,2009,45.06109677,-0.245677419,935.5395,0,27.66,Balochistan,,
8,2009,45.0713871,-0.259645161,989.2535,0,9.242,Balochistan,,
9,2009,45.04903333,-0.296866667,989.6025,0,3.285,Balochistan,,
10,2009,39.59609677,-0.306612903,973.962,0,0.071,Balochistan,,
11,2009,31.6926,-0.282066667,949.468,0,1.348,Balochistan,,
12,2009,24.94019355,-0.232806452,978.9185,0,19.053,Balochistan,,
1,2010,24.46874194,-0.263774194,1008.869,0,12.973,Balochistan,,
2,2010,26.92932143,-0.201071429,994.028,0,25.668,Balochistan,,
3,2010,38.01409677,-0.278387097,970.1655,0,11.607,Balochistan,,
4,2010,44.46446667,-0.242433333,920.277,0,7.596,Balochistan,,
5,2010,47.43335484,-0.253677419,887.5765,0,7.156,Balochistan,,
6,2010,47.27933333,-0.2468,886.9595,0,5.056,Balochistan,,
7,2010,43.70180645,-0.198741935,949.183,1,32.563,Balochistan,,
8,2010,43.97170968,-0.172064516,1199.4155,0,31.338,Balochistan,,
9,2010,42.23016667,-0.2774,1120.0085,0,8.105,Balochistan,,
10,2010,40.53380645,-0.294064516,1063.744,0,0.713,Balochistan,,
11,2010,32.19293333,-0.324133333,1053.4785,0,0.072,Balochistan,,
12,2010,24.41580645,-0.29216129,993.3055,0,3.53,Balochistan,,
1,2011,23.47745161,-0.25483871,994.1555,1,11.923,Balochistan,,
2,2011,25.87860714,-0.1545,1014.7205,0,36.145,Balochistan,,
3,2011,33.56112903,-0.223612903,1050.216,0,23.718,Balochistan,,
4,2011,40.18243333,-0.2115,1103.4345,0,22.628,Balochistan,,
5,2011,47.86809677,-0.291774194,1012.9715,0,5.516,Balochistan,,
6,2011,47.69486667,-0.2677,910.9215,0,2.871,Balochistan,,
7,2011,42.83364516,-0.238419355,958.3905,0,19.525,Balochistan,,
8,2011,42.65329032,-0.201129032,1099.2115,0,24.385,Balochistan,,
9,2011,41.66066667,-0.230733333,1267.0175,0,10.458,Balochistan,,
10,2011,39.28125806,-0.301741935,1227.69,0,1.126,Balochistan,,
11,2011,32.5594,-0.260366667,1151.365,0,3.281,Balochistan,,
12,2011,24.19935484,-0.290258065,1077.7355,0,4.896,Balochistan,,
1,2012,22.04003226,-0.227387097,1041.0855,0,16.313,Balochistan,,
2,2012,23.87158621,-0.229172414,1014.9635,0,12.425,Balochistan,,
3,2012,33.18429032,-0.253870968,961.566,0,10.155,Balochistan,,
4,2012,39.2927,-0.197466667,960.131,0,17.193,Balochistan,,
5,2012,44.84529032,-0.267096774,958.4005,0,7.651,Balochistan,,
6,2012,46.22026667,-0.268833333,912.1415,0,2.565,Balochistan,,
7,2012,45.00012903,-0.259290323,905.376,0,15.093,Balochistan,,
8,2012,44.46270968,-0.246870968,985.101,0,8.857,Balochistan,,
9,2012,42.16256667,-0.231466667,1124.0095,0,16.485,Balochistan,,
10,2012,39.27193548,-0.306258065,1093.4565,0,1.275,Balochistan,,
11,2012,32.39903333,-0.302266667,1061.095,0,0.524,Balochistan,,
12,2012,24.628,-0.237290323,1051.3665,0,18.918,Balochistan,,
1,2013,23.07364516,-0.269677419,1000.1695,0,12.552,Balochistan,,
2,2013,25.99132143,-0.152928571,1021.192,0,40.902,Balochistan,,
3,2013,34.46896774,-0.236,1088.3755,0,32.45,Balochistan,,
4,2013,38.08063333,-0.191166667,1114.8715,0,16.653,Balochistan,,
